HIGH,LOW,OPEN,CLOSE,DATE_TIME
-1.059942849,-1.057281939,-1.057970116,-1.056762065,2000.01.05 21:45:00
-1.059340351,-1.057884572,-1.056162431,-1.059172317,2000.01.05 22:00:00
-1.060545346,-1.058487205,-1.059175239,-1.060377443,2000.01.05 22:15:00
-1.060545346,-1.059089839,-1.060380362,-1.057967191,2000.01.05 22:30:00
-1.059942849,-1.061500372,-1.057367554,-1.058569754,2000.01.05 22:45:00
-1.055725365,-1.055474039,-1.058572677,-1.054351813,2000.01.05 23:00:00
-1.056327863,-1.054268772,-1.053752184,-1.057364628,2000.01.05 23:15:00
-1.058135356,-1.055474039,-1.057367554,-1.056762065,2000.01.05 23:30:00
-1.05693036,-1.055474039,-1.057367554,-1.054954376,2000.01.05 23:45:00
-1.058135356,-1.053666139,-1.055559869,-1.056762065,2000.01.06 00:00:00
-1.055122867,-1.054871406,-1.055559869,-1.051941561,2000.01.06 00:15:00
-1.058135356,-1.057281939,-1.054957308,-1.060377443,2000.01.06 00:30:00
-1.060545346,-1.061500372,-1.059175239,-1.059172317,2000.01.06 00:45:00
-1.058737853,-1.057281939,-1.058572677,-1.057967191,2000.01.06 01:00:00
-1.059340351,-1.057281939,-1.056162431,-1.058569754,2000.01.06 01:15:00
-1.05693036,-1.056076672,-1.057970116,-1.054954376,2000.01.06 01:30:00
-1.052110379,-1.056076672,-1.053752184,-1.056762065,2000.01.06 01:45:00
-1.057532858,-1.060295105,-1.055559869,-1.062185133,2000.01.06 02:00:00
-1.061750342,-1.060295105,-1.058572677,-1.060980006,2000.01.06 02:15:00
-1.06235284,-1.058487205,-1.060982924,-1.061582569,2000.01.06 02:30:00
-1.061750342,-1.060897739,-1.060982924,-1.063390259,2000.01.06 02:45:00
-1.059340351,-1.059692472,-1.060380362,-1.058569754,2000.01.06 03:00:00
-1.057532858,-1.055474039,-1.057970116,-1.055556939,2000.01.06 03:15:00
-1.059340351,-1.056679306,-1.056162431,-1.059172317,2000.01.06 03:30:00
-1.059942849,-1.057281939,-1.059777801,-1.05977488,2000.01.06 03:45:00
-1.060545346,-1.058487205,-1.060380362,-1.057364628,2000.01.06 04:00:00
-1.059340351,-1.057281939,-1.059175239,-1.05977488,2000.01.06 04:15:00
-1.060545346,-1.057281939,-1.058572677,-1.058569754,2000.01.06 04:30:00
-1.058737853,-1.055474039,-1.057970116,-1.057364628,2000.01.06 04:45:00
-1.05693036,-1.054871406,-1.056162431,-1.054954376,2000.01.06 05:00:00
-1.05693036,-1.054268772,-1.054354746,-1.056159502,2000.01.06 05:15:00
-1.050905384,-1.053666139,-1.056162431,-1.050736435,2000.01.06 05:30:00
-1.049700388,-1.04824244,-1.051341938,-1.046518494,2000.01.06 05:45:00
